WorkerId,AssignmentId,AssignmentStatus,WorkTimeInSeconds,List,PresentationOrder,Section,Item,Condition,Factor1,Factor2,Factor3,field_1,Choice,useragent,english,foreignlang,numanswered
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,1,filler,10,ungrammatical,ungrammatical,,,The waiter made the glass empty of wine.,0,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,2,target,10,inanimate-make-v,inanimate,make,v,The mailman made the letter slide under the door.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,3,filler,5,ungrammatical,ungrammatical,,,The girl learned the pony a new trick.,0,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,4,filler,14,grammatical,grammatical,,,The principal made the boy stay after class.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,5,target,20,animate-make-v,animate,make,v,The instructor made the boy float in the pool.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,6,filler,22,grammatical,grammatical,,,The mechanic made his apprentice take the car apart.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,7,filler,8,ungrammatical,ungrammatical,,,The farmer made the apple eat the cat.,0,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,8,target,13,animate-v,animate,v,,The amateur wrestler collapsed the champion to the floor.,0,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,9,filler,16,grammatical,grammatical,,,The police made the crowd scatter using fire hoses.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,10,target,11,inanimate-v,inanimate,v,,The sculptor bent the wire in half.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,11,filler,1,ungrammatical,ungrammatical,,,The teacher played the girl with the doll.,0,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,12,target,7,inanimate-v,inanimate,v,,The player swung the bat too early.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,13,filler,6,ungrammatical,ungrammatical,,,The manager made the receptionist greet some the cats.,0,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,14,target,15,inanimate-v,inanimate,v,,The woman snapped the purse shut angrily.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,15,filler,24,grammatical,grammatical,,,The teacher made his student read the note to the whole class.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,16,target,4,animate-make-v,animate,make,v,The police made the suspect stand in a line up.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,17,filler,19,grammatical,grammatical,,,The carpenter broke the wall into several pieces.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,18,target,16,animate-make-v,animate,make,v,The prankster made the girl slip on the floor.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,19,filler,2,ungrammatical,ungrammatical,,,The councilor made the student skip the road.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,20,target,8,animate-make-v,animate,make,v,The nurse made the patient rest in bed.,1,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,21,filler,12,ungrammatical,ungrammatical,,,The artist made the camera use in black and white.,0,,1,1,
A3ITZNJQUTIZ4C,33F859I566DELLVL4M43G9KZ800BH8,Submitted,327,0,22,filler,17,grammatical,grammatical,,,The bully pushed the boy around in the yard.,1,,1,1,
